candidate,reason
"Peacemaker or Troublemaker: How Sycophancy Shapes Multi-Agent Debate (2509.23055)","Resolved via OAI (Binwei Yao and others, 2025) but dropped to stay within the 14-entry cap; overlaps with Wynn et al. and Hao et al. on debate sycophancy."
"Too Polite to Disagree: Understanding Sycophancy Propagation in Multi-Agent Systems (2604.02668)","Resolved via OAI (Kasprova and others, SIGDIAL 2026) but dropped for budget; sycophancy-propagation angle already covered by the debate entries."
"Not Just RLHF: Why Alignment Alone Won't Fix Multi-Agent Sycophancy (2605.12991)","Resolved via OAI but dropped for budget; mechanistic (activation-patching) focus is peripheral to a behavioural dose-response study."
"From Spark to Fire: Modeling and Mitigating Error Cascades in LLM-Based Multi-Agent Collaboration (2603.04474)","Resolved via OAI but dropped for budget; error-cascade framing is covered by the reliability-contagion and HARP entries."
"Hallucination Cascade: Analyzing Error Propagation in Multi-Agent LLM Systems (2606.07937)","Resolved via OAI but dropped for budget; sequential cascade setting is further from orchestrator-worker hierarchy than the retained entries."
"Which Agent Causes Task Failures and When? (2505.00212)","Resolved via OAI but dropped for budget; failure attribution is a debugging problem, not a failure-mode measurement."
"TRAIL: Trace Reasoning and Agentic Issue Localization (2505.08638)","Resolved via OAI but dropped; single-agent trace error taxonomy, belongs to an evaluation cluster rather than multi-agent failures."
"MAS-Orchestra (2601.14652)","Resolved via OAI (ICML 2026) but dropped for budget; primarily a training-time orchestration method rather than a failure study."
"Should we be going MAD? (2311.17371)","Resolved via OAI but dropped as 2023 work superseded by the 2025-2026 debate-failure entries retained."
"Scaling Behavior of Single LLM-Driven Multi-Agent Systems (2606.00655)","Resolved via OAI but dropped for budget; homogeneous sequential MAS scaling is tangential to worker-side context visibility."
"AgentArk (2602.03955)","Resolved via OAI but dropped; distillation method, not a failure or comparison study."
"AdaptOrch (2602.16873)","Resolved via OAI but dropped; single-author topology-selection framework with no failure-mode measurement."
"Hallucination as Context Drift (2606.21666)","Resolved via OAI but dropped; single-author protocol proposal with limited empirical grounding."
"Unlocking the Power of Multi-Agent LLM for Reasoning: From Lazy Agents to Deliberation (2511.02303)","Resolved via OAI but dropped for budget; lazy-agent collapse is an RL-training phenomenon in a two-agent loop, tangential here."
"Byzantine Cheap Talk (2606.07790)","Resolved via OAI (NETYS 2026) but dropped; adversarial coordination-game setting is outside this cluster's scope."
"DecisionBench (2605.19099)","Resolved via OAI but dropped; delegation benchmark where peers see only the subtask string, better suited to an orchestration or benchmark cluster."
"Modeling Response Consistency in Multi-Agent LLM Systems: Shared and Separate Context (2504.07303)","Resolved via OAI but dropped; single-author simulation model of context sharing with no LLM failure measurement."
"OpenHands 2407.16741 (seed)","Verified against arXiv OAI-PMH (title 'OpenHands: An Open Platform for AI Software Developers as Generalist Agents', Xingyao Wang and 23 others, ICLR 2025) but excluded from C1 to hold the 12 to 16 target: it is a single-agent platform whose delegation feature is peripheral; use it only if a coding-agent platform citation is needed."
"MacNet 2406.07155 (seed)","Verified (title 'Scaling Large Language Model-based Multi-Agent Collaboration', Chen Qian and 11 others, ICLR 2025) but excluded for scope: it studies collaboration topology scaling, not orchestrator-worker briefing; keep if the paper discusses topology as a confound."
"GPTSwarm 2402.16823 (seed, Zhuge et al., ICML 2024)","Verified (title 'Language Agents as Optimizable Graphs', Mingchen Zhuge and Wenyi Wang and Louis Kirsch and Francesco Faccio and Dmitrii Khizbullin and Jürgen Schmidhuber) but excluded for scope: graph-optimised agent workflows belong to an automated-workflow-design cluster, not orchestrator-worker harness design."
"ADAS 2408.08435 (seed, Hu et al.)","Verified (title 'Automated Design of Agentic Systems', Shengran Hu and Cong Lu and Jeff Clune, ICLR 2025) but excluded for scope: meta-agent search over agent code, same automated-design family as GPTSwarm and AFlow."
"AFlow 2410.10762 (seed)","Verified via export API (title 'AFlow: Automating Agentic Workflow Generation', Jiayi Zhang and 13 others) but excluded for scope: automated workflow search, not worker briefing."
"DyLAN 2310.02170 (seed)","Verified (title 'A Dynamic LLM-Powered Agent Network for Task-Oriented Agent Collaboration', Zijun Liu and Yanzhe Zhang and Peng Li and Yang Liu and Diyi Yang, COLM 2024) but excluded for scope: dynamic agent-network selection with no orchestrator-worker briefing dimension."
"Mixture-of-Agents 2406.04692 (seed)","Verified via export API (title 'Mixture-of-Agents Enhances Large Language Model Capabilities', Junlin Wang and Jue Wang and Ben Athiwaratkun and Ce Zhang and James Zou) but excluded for scope: layered response aggregation, not an orchestrator-worker architecture."
"Generative Agents 2304.03442 (seed)","Verified via export API (title 'Generative Agents: Interactive Simulacra of Human Behavior', Joon Sung Park and Joseph C. O'Brien and Carrie J. Cai and Meredith Ringel Morris and Percy Liang and Michael S. Bernstein, UIST 2023) but excluded for scope: social simulation with no hierarchical delegation; belongs in a simulation or background cluster if cited at all."
"Uno-Orchestra 2605.05007 (search hit)","Verified (title 'Uno-Orchestra: Parsimonious Agent Routing via Selective Delegation', Zhiqing Cui and 13 others, 2026) but not returned: learned routing of subtasks to (model, primitive) pairs is orchestrator-side policy, closer to the orchestrator-context cluster than to worker visibility."
"WebSwarm 2607.08662 (search hit)","Verified (title 'WebSwarm: Recursive Multi-Agent Orchestration for Deep-and-Wide Web Search', Xiaoshuai Song and 10 others, 2026) but not returned: domain-specific recursive search orchestration, superseded in this cluster by Recursive Agent Harnesses."
"LongHorizon-Harness 2608.01964 (search hit)","Verified (title 'LongHorizon-Harness: Advancing Long-Horizon Agents for Real-World Tasks', Ziyu Ma and 7 others, 2026) but not returned: single-agent task-state maintenance; OneDayAgent already covers the long-horizon harness citation. Worth reconsidering if the paper needs two long-horizon harness references."
"When Context Hurts 2605.04361 (search hit)","Verified (title 'When Context Hurts: The Crossover Effect of Knowledge Transfer on Multi-Agent Design Exploration', Saranyan Vigraham, 2026) but not returned from C1: it is an empirical context-transfer result (2,700 runs, artifact handoff degrades exploration on some tasks) and belongs in the context-visibility or related-work cluster, where it is probably a must."
"Do More Agents Help? 2606.05670 (search hit)","Verified (title 'Do More Agents Help? Controlled and Protocol-Aligned Evaluation of LLM Agent Workflows', Yuhang Fu and 6 others, 2026) but not returned: evaluation-methodology paper, belongs in the evaluation cluster."
"SemaClaw 2604.11548 (search hit)","Verified (title 'SemaClaw: A Step Towards General-Purpose Personal AI Agents through Harness Engineering', Ningyan Zhu and 10 others, 2026) but not returned: personal-assistant harness with no orchestrator-worker delegation focus."
"BOUNDARY_SYNC: Measuring Communication-Induced Representational Coupling in Multi-Agent LLM Systems (arXiv 2607.01600)","Could not resolve: the arXiv export API returned HTTP 429 on ten attempts spread over several minutes for this id specifically, while other ids resolved in the same windows. Title and id come only from web search results, which is not a primary index. Retry the API before citing."
"The Chameleon's Limit: Investigating Persona Collapse and Homogenization in Large Language Models (arXiv 2604.24698; Yunze Xiao, Vivienne J. Zhang, Chenghao Yang, Ningshan Ma, Weihao Xuan, Jen-tse Huang; 2026)","Verified against the arXiv API but omitted: single-model persona homogenization under role prompting, not multi-agent herding; weaker fit and the cluster is at its 12-entry cap."
"Talk Isn't Always Cheap: Understanding Failure Modes in Multi-Agent Debate (arXiv 2509.05396; Andrea Wynn, Harsh Satija, Gillian Hadfield; ICML MAS Workshop 2025)","Verified against the arXiv API but omitted for the 12-entry cap; debate-specific failure modes overlap with wan2026illusion and hao2026flips. Promote if a debate-failure citation is needed."
"Creativity in LLM-based Multi-Agent Systems: A Survey (arXiv 2505.21116; Yi-Cheng Lin and others; EMNLP 2025, DOI 10.18653/v1/2025.emnlp-main.1403)","Verified against the arXiv API but omitted: survey of creativity rather than a diversity-collapse result; cap reached."
"When Your AI Agent Succumbs to Peer-Pressure: Studying Opinion-Change Dynamics of LLMs (arXiv 2510.19107; Aliakbar Mehdizadeh, Martin Hilbert; 2025)","Verified against the arXiv API but omitted for the cap; overlaps with cho2025herd and zhu2025conformity on peer-pressure opinion change."
"The Cost of Consensus: Isolated Self-Correction Prevails Over Unguided Homogeneous Multi-Agent Debate (arXiv 2605.00914; Blaž Bertalanič, Carolina Fortuna; ACM Conference on AI and Agentic Systems, DOI 10.1145/3786335.3813137; 2026)","Verified against the arXiv API but omitted for the cap; its isolated-vs-debate accuracy comparison is a candidate replacement for hao2026flips if an accuracy-cost citation is preferred."
"Most LLM Conformity Needs No Speaker: Measuring the Speaker-Free Floor in Peer-Pressure Benchmarks (arXiv 2607.05545; Yibo Hu, Jiaming Qu; 2026)","Verified against the arXiv API but omitted for the cap; benchmark-methodology critique of conformity measurement, tangential to hierarchical visibility."
"MAD-Spear: A Conformity-Driven Prompt Injection Attack on Multi-Agent Debate Systems (arXiv 2507.13038; Yu Cui, Hongyang Du; 2025)","Verified against the arXiv API but omitted: security-attack framing belongs to an adversarial cluster, not diversity collapse."
"Emergence of Biased Consensus in Multi-Agent LLM Debates (arXiv 2608.02827; Maya Okawa; ICML 2026 per arXiv comment)","Verified against the arXiv API (single author returned) but omitted for the cap; strong venue, promote if an ICML-level biased-consensus citation is wanted."
"LLM-Based Multi-Agent Blackboard System for Information Discovery in Data Science (arXiv 2510.01285)","Verified against the index (Salemi et al., 2025) but omitted to stay near the cluster budget; Hearsay-II already anchors the blackboard lineage and Ou et al. covers the modern shared-state ablation. Available if the C4 slot count is raised."
"Exploring Advanced LLM Multi-Agent Systems Based on Blackboard Architecture (arXiv 2507.01701)","Verified (Han and Zhang, 2025) but redundant with the blackboard entries already included; omitted for budget."
"Decentralized Multi-Agent Systems with Shared Context (arXiv 2606.10662)","Verified (Mao and Mirhoseini, 2026) but it replaces the orchestrator rather than varying what workers see under one; omitted for budget."
"Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs (arXiv 2512.04668)","Verified (Liu et al., ACL 2026 Findings) but its outcome is PII leakage across six canonical topologies, which belongs to a privacy or safety cluster rather than coordination structure."
"Assemble Your Crew: Automatic Multi-agent Communication Topology Design via Autoregressive Graph Generation (arXiv 2507.18224)","Verified (Li et al., AAAI 2026 oral) but adds a fourth topology-generation method to a line already represented by G-Designer, GTD, and the position paper; omitted for budget."
"AgentDropoutV2 (arXiv 2602.23258)","Verified (Wang et al., 2026) but it is a test-time output-rectification firewall, not a topology or context-visibility manipulation."
"Predictive Maps of Multi-Agent Reasoning: A Successor-Representation Spectrum for LLM Communication Topologies (arXiv 2605.11453)","Verified (Parks and Alharthi, 2026); a spectral diagnostic for chain, star, and mesh drift that is adjacent but not load-bearing for the worker-side adherence claim; omitted for budget."
"MOC: Multi-Order Communication in LLM-based Multi-Agent Systems (arXiv 2606.02359)","Verified (Guan et al., 2026); concerns multi-hop message aggregation among peers rather than hierarchical visibility; omitted for budget."
"A Formal Hierarchical Architecture for Agentic Orchestration with Stack-Based Execution and Lazy Discovery (arXiv 2607.11138)","Verified but it is a tool-routing architecture (flat versus hierarchical tool registries), not agent-to-agent coordination; also the index returns a single-token author 'Abhishek' that cannot be rendered as Given Family."
"Multi-Agent Coordination Adaptation via Structure-Guided Orchestration (arXiv 2605.25746)","Verified (Li et al., 2026); joint inference over structure and orchestration is adjacent but not needed once Kim et al. and the topology-design line are cited; omitted for budget."
"AgentBench 2308.03688 (Liu et al., AgentBench: Evaluating LLMs as Agents)","Resolved successfully against https://export.arxiv.org/api/query?id_list=2308.03688 (22 authors, 2023) but excluded to hold the cluster at 14 entries; it is a 2023 single-agent capability suite superseded for this paper's purposes by GAIA, tau-bench and the 2025-2026 benchmarks retained. Re-add with key liu2023agentbench if a broader survey paragraph needs it."
"Concordia (DeepMind) 2312.03664","Resolved (Vezhnevets et al., Generative agent-based modeling with actions grounded in physical, social, or digital space using Concordia) but excluded: it is a generative social-simulation library with a Game Master mediator, not a benchmark or evaluation methodology for task-executing sub-agents, and the cluster budget is full."
"SOTOPIA 2310.11667","Resolved (Zhou et al., SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents) but excluded: it evaluates social-goal role-play between agents, not literal-instruction adherence in delegated task execution; low relevance and cluster budget full."
"SWE-bench Verified Mini (huggingface.co/datasets/MariusHobbhahn/swe-bench-verified-mini)","Dataset card fetched (50-instance subset of SWE-bench Verified selected to preserve difficulty distribution, Django/Sphinx only), but it is a dataset card with no paper, no date, and no citable venue; subsumed by the SWE-bench Verified entry. Cite only if the paper actually runs on this subset."
"Holistic Agent Leaderboard 2510.11977 (Kapoor et al.)","Resolved via the batched arXiv query (31 authors, Oct 2025) but excluded to stay within the 14-entry target; its methodological argument (standardized harness, cost reporting, log analysis) is already carried by AI Agents That Matter from the same group. Re-add as kapoor2025hal if the evaluation-infrastructure discussion expands."
"OpenAI SWE-bench Verified page as primary source","Not a rejection of the entry (kept as openai2024swebenchverified) but a flag: https://openai.com/index/introducing-swe-bench-verified/ returned HTTP 403 to WebFetch and to curl with browser headers; the entry is verified against swebench.com/verified.html instead, and the byline reported by a GitHub mirror was not adopted."
"Safe Multi-Agent Behavior Must Be Maintained, Not Merely Assumed","Duplicate of arXiv 2605.10481 (li2026constraintdrift); the verbatim title uses 'Asserted' rather than 'Assumed'. Merged into that entry rather than listed twice."
"AlphaEvolve: A coding agent for scientific and algorithmic discovery (Google DeepMind, arXiv 2506.13131, 2025; Novikov et al.)","Resolved on arXiv but out of scope: it is an evolutionary program-search loop over an LLM ensemble with automated evaluators, not an orchestrator delegating briefs to sub-agents, so it says nothing about worker-side context visibility."
"Interaction Models: A Scalable Approach to Human-AI Collaboration (Thinking Machines Lab, 11 May 2026, https://thinkingmachines.ai/blog/interaction-models/)","The only other Thinking Machines post near the topic; it is a research preview of a natively interactive multimodal model for human-in-the-loop collaboration, not an agent orchestration system and not about sub-agent context. No other Thinking Machines agent-related primary exists on the blog index (remaining posts: A Safe Path to Open Weights, LoRA, Modular Manifolds, On-Policy Distillation, The Future Worth Building Is Human)."
"Chain of Agents on OpenReview","OpenReview API returned no note for the exact title; the NeurIPS 2024 proceedings page was used as the venue source instead."
"Muse Spark 1.3 model card (PDF) and Muse Spark 1.2 model card (PDF), Meta","No model card document exists at the fetched primary pages (developer.meta.com/ai/models/muse-spark/, research.meta.ai/blog/introducing-muse-spark-1-3, research.meta.ai/blog/introducing-muse-code-and-muse-spark-1-2, dev.meta.ai/docs/); the model listing page and release posts are returned instead."
"Meta paper on multi-agent or sub-agent workflows (arXiv)","arXiv full-text search for 'Muse Spark' and web search for a Meta Superintelligence Labs multi-agent paper returned no Meta-authored preprint; all hits were third-party papers or press."
"Magentic-UI (Microsoft, 2025 arXiv)","arXiv export API returned HTTP 429 (rate limit) on every title search attempt; identifier could not be resolved and was not guessed."
"Google ADK 'Multi-agent systems' page at google.github.io/adk-docs/agents/multi-agents/ (transfer_to_agent, AgentTool)","URL 301-redirects to adk.dev/agents/multi-agents/, which redirects again to a page returning HTTP 404; the docs source file docs/agents/multi-agents.md no longer exists in google/adk-docs. Superseded by adk.dev/workflows/collaboration/ (entered)."
"OpenAI Deep Research system card HTML page (openai.com/index/deep-research-system-card/)","HTTP 403 to non-browser fetches; the CDN PDF at cdn.openai.com/deep-research-system-card.pdf was verified and entered instead."
"Thinking Machines Lab agent-orchestration work","No primary source found; the lab's public products (Tinker fine-tuning API, Inkling open weights, the July 2026 manifesto) do not document a sub-agent system."
"Anthropic 'Agentic Misalignment' as an arXiv entry","No arXiv id or DOI is listed on the research page and the arXiv title search was rate-limited (HTTP 429); entered as a URL-type source instead."
"WideSeek-R1 (arXiv 2602.04634), seed 'if ByteDance'","Resolved on arXiv (title 'WideSeek-R1: Exploring Width Scaling for Broad Information Seeking via Multi-Agent Reinforcement Learning', authors Zelai Xu and Zhexuan Xu and Ruize Zhang and Chunyang Zhu and Shi Yu and Weilin Liu and Quanlu Zhang and Wenbo Ding and Chao Yu and Yu Wang, published 2026-02-04; verification https://export.arxiv.org/api/query?id_list=2602.04634 at 2026-09-03T06:52:59Z), but the HTML lists affiliations as Tsinghua University (EE, SIGS, IIIS) and Infinigence AI, not ByteDance. Excluded from the lab cluster; it belongs in an academic multi-agent RL cluster (its sub-agents run 'within an isolated context' on lead-agent-written subtask prompts and return final-turn outputs with thinking removed)."
"Seed-OSS technical report","The seed-oss README says 'Seed-Tech Report Coming Soon'; no arXiv or PDF report exists to resolve. The GitHub repository is used as the primary source instead."
"Hy3 technical report (Tencent Hunyuan)","No arXiv identifier or report PDF found; web search returned only the GitHub repository, Hugging Face model card and press coverage. GitHub repository used instead."
"Hyra-1.0 (Hunyuan Research Agent)","Only a press mention surfaced in search; no primary page or arXiv record was located and verified."
"Kimi-K2.6 and GLM-5.1 / GLM-5.2 reports","Referenced as baselines inside the DeepSeek-V4 report and Z.ai docs, but no primary technical report for these point releases was located; not searched exhaustively because the K2.5, K3, GLM-5 and GLM-5.3 sources already cover the labs."
"DeepSeek-V3.2-Exp / DeepSeek Sparse Attention GitHub PDF","Superseded by the resolved arXiv report 2512.02556, which is the citable primary source."
"ZCode (Z.ai) subagent documentation","Third-party coverage says ZCode v3.2.0 added custom subagents with scoped permissions, but the first-party page was not fetched and verified; Zhipu's visibility row is therefore recorded as undocumented."
"DeepSeek-TUI 'RLM parallel sub-agents'","Surfaced only in a search snippet; it is a community terminal client, not a DeepSeek primary source, and its page was not verified."
"arXiv search-API sweeps for 'ByteDance Seed AND agent', 'Hunyuan AND agent', 'DeepSeek AND multi-agent'","export.arxiv.org returned HTTP 429 / empty bodies for every search_query call during this session (id_list lookups succeeded after backoff); additional discovery was done with WebSearch instead."
"Deep Agentic Search for Repository-Level Code Question Answering: An Empirical Study (arXiv 2608.01507, 2026-08-02)","Closest empirical neighbour but not a scoop: a binary comparison of an isolated-context subagent against semantic-search retrieval on SWE-QA, scored on answer correctness and cost. It reports that 41.8 percent of subagent failures occur at the planner-to-subagent hand-off and are silent, but it neither grades the worker's context nor measures literal adherence. Not added because it falls outside the brief; the orchestrator may want it as a C2-context 'should' entry."
"Zero-Shot Self-Orchestration with Ledger-Based Control for Improved LLM Coding Performance (arXiv 2608.26480, 2026-08-27)","Manager-worker scaffold with a shared ledger compared against a single-pass baseline across nine models on LiveCodeBench; the ledger is manager-side state and the worker's context is not dosed. Outcome is solve rate and token cost, not adherence."
"When Child Inherits: Modeling and Exploiting Subagent Spawn in Multi-Agent Networks (arXiv 2605.08460, 2026-05-08)","Security analysis of what a spawned subagent inherits from its parent (memory, stale state, termination authority); frames inheritance as an attack surface, with no graded visibility and no adherence measurement."
"Bilevel Coordinated Reflection: A Game-Theoretic Approach to Multi-Agent LLM Systems (arXiv 2609.02750, 2026-09-02)","Models orchestrator-worker interaction as a bilevel coordination game controlled by decomposition quality; the manipulated quantities are reflection and memory acceptance, not what the worker is shown of the parent task."
"Safe Bilevel Delegation (SBD): A Formal Framework for Runtime Delegation Safety in Multi-Agent Systems (arXiv 2604.27358, 2026-04-30)","Formal framework only; its continuous delegation degree alpha is transferred decision authority, not context visibility, and the abstract states empirical validation is deferred to a future revision."
"MAS-Orchestra: Understanding and Improving Multi-Agent Reasoning Through Holistic Orchestration and Controlled Benchmarks (arXiv 2601.14652, 2026-01-21)","RL-trained orchestration that abstracts subagents as callable functions hiding internal execution; MASBENCH varies task structure (depth, horizon, breadth, parallel, robustness), not the context handed to workers."
"From Literal to Liberal: A Meta-Prompting Framework for Eliciting Human-Aligned Exception Handling in Large Language Models (arXiv 2510.12864, 2025-10-14)","Single-agent rule-rigidity study that treats literal instruction following as the defect to be prompted away; no hierarchy, no orchestrator, and it optimises the opposite pole of the construct this paper measures."
