key,id_type,id,title,year,venue,cluster,tier,verified_at,verification_source,url
"jaye2026corpgen","arxiv","2602.14229","CORPGEN: Simulating Corporate Environments with Autonomous Digital Employees in Multi-Horizon Task Environments","2026","arXiv preprint","C1-architectures","should","2026-09-03T06:56:02Z","https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2602.14229&metadataPrefix=arXiv","https://arxiv.org/abs/2602.14229"
"lan2026searchswarmdelegation","arxiv","2606.09730","SearchSwarm: Towards Delegation Intelligence in Agentic LLMs for Long-Horizon Deep Research","2026","arXiv preprint","C1-architectures","should","2026-09-03T19:57:24Z","arXiv API export.arxiv.org/api/query?id_list=2606.09730 (v2, published 2026-06-08, updated 2026-08-09); Section 3.3 figures confirmed in arxiv.org/html/2606.09730v2 (47.7 base, 50.0 tool only, 57.7 full harness on a 200-question BrowseComp subset with DeepSeek V3.2)","https://arxiv.org/abs/2606.09730"
"le2026crosslayer","doi","10.1186/s42400-026-00628-w","Cross-layer contagion of prompt injections in multi-agent swarms: a multiplex microscopic markov chain approach","2026","Cybersecurity, vol. 9, issue 1, article 191, published 16 Jul 2026","C1-architectures","optional","2026-09-03T22:41:11Z","Crossref API record for DOI 10.1186/s42400-026-00628-w (curl, 2026-09-03)","https://doi.org/10.1186/s42400-026-00628-w"
"li2026mesaprioritizing","arxiv","2606.30602","MESA: Prioritizing Vulnerable Communication Channels for Securing Multi-Agent Systems","2026","arXiv preprint (cs.CR; cs.AI), submitted 29 Jun 2026","C1-architectures","optional","2026-09-03T22:41:11Z","arXiv abs page https://arxiv.org/abs/2606.30602 (curl, 2026-09-03)","https://arxiv.org/abs/2606.30602"
"liu2026collaborationstate","arxiv","2605.20563","Multi-agent Collaboration with State Management","2026","arXiv preprint (cs.MA, cs.AI, cs.CL, cs.LG, cs.SE); no venue stated in record","C1-architectures","optional","2026-09-03T20:21:58Z","arXiv API record 2605.20563 (published 2026-05-19); title and first author match","https://arxiv.org/abs/2605.20563"
"liu2026diveclaude","arxiv","2604.14228","Dive into Claude Code: The Design Space of Today's and Future AI Agent Systems","2026","arXiv technical report","C1-architectures","must","2026-09-03T06:55:55Z","https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2604.14228&metadataPrefix=arXiv","https://arxiv.org/abs/2604.14228"
"lumer2026recursive","arxiv","2606.13643","Recursive Agent Harnesses","2026","arXiv preprint","C1-architectures","should","2026-09-03T06:56:04Z","https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2606.13643&metadataPrefix=arXiv","https://arxiv.org/abs/2606.13643"
"lyu2026coagentconcurrency","arxiv","2606.15376","CoAgent: Concurrency Control for Multi-Agent Systems","2026","arXiv preprint (arXiv comment: 14 pages, 7 figures. Submitted to ATC 2026; submitted, not accepted, so cite as arXiv)","C1-architectures","optional","2026-09-03T20:21:58Z","arXiv export API id_list=2606.15376 (title, authors, published 2026-06-13, comment, summary read)","https://arxiv.org/abs/2606.15376"
"margalit2026governedshared","arxiv","2606.24535","Governed Shared Memory for Multi-Agent LLM Systems","2026","arXiv preprint","C1-architectures","should","2026-09-03T22:41:11Z","arXiv abs page (v1, 23 Jun 2026)","https://arxiv.org/abs/2606.24535"
"martin2026scalingmanaged","url","https://www.anthropic.com/engineering/managed-agents","Scaling Managed Agents: Decoupling the brain from the hands","2026","Anthropic Engineering blog, Apr 08, 2026","C1-architectures","should","2026-09-03T20:21:58Z","WebFetch of https://www.anthropic.com/engineering/managed-agents (title, byline, date read from page)","https://www.anthropic.com/engineering/managed-agents"
"mieczkowski2026improvingefficiency","arxiv","2605.06320","Improving the Efficiency of Language Agent Teams with Adaptive Task Graphs","2026","arXiv preprint","C1-architectures","should","2026-09-03T22:41:11Z","arXiv abs page https://arxiv.org/abs/2605.06320 (submitted 7 May 2026)","https://arxiv.org/abs/2605.06320"
"muruaga2026boundeddelegation","arxiv","2608.15888","Bounded Agents: Delegation Security for Multi-Agent AI Systems","2026","arXiv preprint (v1 16 Aug 2026); comment: 14 pages, 4 figures, 18 tables","C1-architectures","optional","2026-09-03T20:21:58Z","arXiv abstract page https://arxiv.org/abs/2608.15888 (export API returned HTTP 429); title, single author, date, comment, subjects and abstract read from the page","https://arxiv.org/abs/2608.15888"
"nagaraja2026promptscontrol","arxiv","2608.00747","When Prompts Control Robots: Prompt Injection Attacks in Multi-Agent Robotic Systems","2026","arXiv preprint (cs.RO; cs.AI; cs.CR; cs.MA), submitted 1 Aug 2026, v2 4 Aug 2026","C1-architectures","optional","2026-09-03T22:41:11Z","arXiv abs page https://arxiv.org/abs/2608.00747 (curl, 2026-09-03); v2 revised 4 Aug 2026","https://arxiv.org/abs/2608.00747"
"naik2026omnileak","arxiv","2602.13477","OMNI-LEAK: Orchestrator Multi-Agent Network Induced Data Leakage","2026","arXiv preprint (comment: Preprint; corrected typos). No ICML submission note appears in the record.","C1-architectures","must","2026-09-03T22:41:11Z","arXiv abs page (v2, 25 Feb 2026)","https://arxiv.org/abs/2602.13477"
"pan2026naturalharnesses","arxiv","2603.25723","Natural-Language Agent Harnesses","2026","arXiv preprint (cs.CL, cs.AI), v2 18 May 2026","C1-architectures","optional","2026-09-03T19:57:24Z","arXiv API export.arxiv.org id_list=2603.25723 (v2, published 2026-03-26, updated 2026-05-18; comment 'revise paper'); note candidate's 'v2 26 Mar 2026' is the v1 date","https://arxiv.org/abs/2603.25723"
"ruan2026aorchestra","arxiv","2602.03786","AOrchestra: Automating Sub-Agent Creation for Agentic Orchestration","2026","arXiv preprint","C1-architectures","must","2026-09-03T06:42:12Z","https://export.arxiv.org/api/query?id_list=2602.03786","https://arxiv.org/abs/2602.03786"
"shi2026organizationalcontrol","arxiv","2606.04306","Organizational Control Layer: Governance Infrastructure at the Execution Boundary of LLM Agent Systems","2026","arXiv:2606.04306 (comment: 13 pages, 2 figures; no venue stated)","C1-architectures","should","2026-09-03T20:21:58Z","arXiv API export.arxiv.org id_list=2606.04306 (v2, published 2026-06-03, updated 2026-08-15)","https://arxiv.org/abs/2606.04306"
"sun2026scalinglong","url","https://openreview.net/forum?id=lNRgWoGfYg","Scaling Long-Horizon Agent via Context Folding","2026","ICML 2026 (OpenReview venue 'ICML 2026 regular'; bibtex booktitle 'Forty-third International Conference on Machine Learning')","C1-architectures","optional","2026-09-03T20:21:58Z","OpenReview search API (api2.openreview.net/notes/search, forum lNRgWoGfYg): title, seven authors, venue ICML 2026 regular, bibtex; forum page bot-checked. Same work as arXiv 2510.11967 'Scaling Long-Horizon LLM Agent via Context-Folding' (CoRR 2025, DBLP record on OpenReview forum fBghbCuAJj) and the rejected ICLR 2026 submission JaLXQnA2wi; the arXiv export API returned empty during this session so the arXiv metadata was taken from the DBLP record and the web search hit.","https://openreview.net/forum?id=lNRgWoGfYg"
"virk2026swarmresearch","arxiv","2607.02807","SwarmResearch: Orchestrating Coding Agents for Open-Ended Discovery","2026","arXiv preprint","C1-architectures","should","2026-09-03T06:42:12Z","https://export.arxiv.org/api/query?id_list=2607.02807","https://arxiv.org/abs/2607.02807"
"vishnyakova2026contextengineering","arxiv","2603.09619","Context Engineering: From Prompts to Corporate Multi-Agent Architecture","2026","arXiv preprint (comment: 25 pages, 1 figure; no venue stated)","C1-architectures","optional","2026-09-03T19:57:24Z","arXiv API id_list=2603.09619, v2 updated 2026-03-13, published 2026-03-10; title and author match","https://arxiv.org/abs/2603.09619"
"wang2026hierarchyhelp","arxiv","2605.13172","When Does Hierarchy Help? Benchmarking Agent Coordination in Event-Driven Industrial Scheduling","2026","arXiv preprint","C1-architectures","should","2026-09-03T22:41:11Z","arXiv abs page 2605.13172 (submitted 13 May 2026; no comments or journal ref; the NLPCC 2026 acceptance mentioned in the candidate note is not on the arXiv record)","https://arxiv.org/abs/2605.13172"
"wei2026harness","arxiv","2604.18071","Architectural Design Decisions in AI Agent Harnesses","2026","arXiv preprint","C1-architectures","must","2026-09-03T06:55:57Z","https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2604.18071&metadataPrefix=arXiv","https://arxiv.org/abs/2604.18071"
"xiangxin2026decomposedgoal","url","https://openreview.net/forum?id=MM0IRRSNbH","The Decomposed Goal Protocol: Compaction-Resilient Goal-DAG Maintenance for Long-Horizon Agent Harnesses","2026","LLA 2026 Poster (COLM 2026 The 2nd Workshop on Lifelong Agents: Learning, Aligning, and Evolving; OpenReview venueid colmweb.org/COLM/2026/Workshop/LLA)","C1-architectures","should","2026-09-03T20:21:58Z","OpenReview search API (api2.openreview.net/notes/search, forum MM0IRRSNbH): title, authors, venue, abstract and bibtex; the forum page and notes endpoint return a bot-check 403. Note: the record lists a second author, CHENGTIAN HONG (printed in capitals), absent from the candidate entry. No arXiv or Crossref record found.","https://openreview.net/forum?id=MM0IRRSNbH"
"xu2026selfmanager","arxiv","2601.17879","Self-Manager: Parallel Agent Loop for Long-form Deep Research","2026","arXiv preprint arXiv:2601.17879","C1-architectures","should","2026-09-03T20:21:58Z","arXiv abs page 2601.17879 (v1 submitted 25 Jan 2026; no Comments or journal reference field).","https://arxiv.org/abs/2601.17879"
"yoon2026arcticswarmdeferring","arxiv","2609.01870","ArcticSwarm: Deferring Early Consensus in Long-Horizon Multi-Agent Research","2026","arXiv preprint (cs.MA)","C1-architectures","should","2026-09-03T22:41:11Z","arXiv API export.arxiv.org, id_list=2609.01870 (v1 2026-09-01)","https://arxiv.org/abs/2609.01870"
"yu2026adaptorchtask","arxiv","2602.16873","AdaptOrch: Task-Adaptive Multi-Agent Orchestration in the Era of LLM Performance Convergence","2026","arXiv preprint arXiv:2602.16873","C1-architectures","optional","2026-09-03T20:21:58Z","arXiv abs page 2602.16873 (v1 submitted 18 Feb 2026; Comments: 21 pages, 10 figures, 6 tables; no journal reference).","https://arxiv.org/abs/2602.16873"
"zhang2026sweedit","arxiv","2604.26102","SWE-Edit: Rethinking Code Editing for Efficient SWE-Agent","2026","arXiv preprint","C1-architectures","should","2026-09-03T06:55:53Z","https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2604.26102&metadataPrefix=arXiv","https://arxiv.org/abs/2604.26102"
"zheng2026onedayagent","arxiv","2608.05013","OneDayAgent: Towards a Long-Horizon Harness for Autonomous Agents","2026","arXiv preprint","C1-architectures","must","2026-09-03T06:56:00Z","https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2608.05013&metadataPrefix=arXiv","https://arxiv.org/abs/2608.05013"
"zhu2026orchestrationsurvey","doi","10.3390/fi18060326","LLM-Based Multi-Agent Orchestration: A Survey of Frameworks, Communication Protocols, and Emerging Patterns","2026","Future Internet, vol. 18, no. 6, 326 (published 15 June 2026)","C1-architectures","optional","2026-09-03T19:57:24Z","Crossref api.crossref.org/works/10.3390/fi18060326 (container Future Internet, volume 18, issue 6, page 326, issued 2026-06-15)","https://doi.org/10.3390/fi18060326"
"dang2025collaborationevolving","arxiv","2505.19591","Multi-Agent Collaboration via Evolving Orchestration","2025","Advances in Neural Information Processing Systems 38 (NeurIPS 2025), pp. 182975-183009","C1-architectures","should","2026-09-03T20:21:58Z","arXiv abs page 2505.19591 (v1 26 May 2025, v2 21 Oct 2025; Comments: Accepted at NeurIPS 2025) and Crossref proceedings-article record for DOI 10.52202/085713-5502 (container: Advances in Neural Information Processing Systems 38). The arXiv API itself returned HTTP 429.","https://arxiv.org/abs/2505.19591"
"han2025exploringadvanced","arxiv","2507.01701","Exploring Advanced LLM Multi-Agent Systems Based on Blackboard Architecture","2025","arXiv preprint (no venue stated)","C1-architectures","optional","2026-09-03T19:57:24Z","arXiv API id_list=2507.01701, v1 published 2025-07-02; title and authors match","https://arxiv.org/abs/2507.01701"
"helmi2025modelingresponse","arxiv","2504.07303","Modeling Response Consistency in Multi-Agent LLM Systems: A Comparative Analysis of Shared and Separate Context Approaches","2025","arXiv preprint","C1-architectures","optional","2026-09-03T22:41:11Z","arXiv abs page (v1, 9 Apr 2025)","https://arxiv.org/abs/2504.07303"
"moore2025taxonomyhierarchical","arxiv","2508.12683","A Taxonomy of Hierarchical Multi-Agent Systems: Design Patterns, Coordination Mechanisms, and Industrial Applications","2025","arXiv preprint (no venue stated)","C1-architectures","should","2026-09-03T19:57:24Z","arXiv API id_list=2508.12683, v1 published 2025-08-18; title and author match","https://arxiv.org/abs/2508.12683"
"salemi2025blackboardinformation","arxiv","2510.01285","LLM-Based Multi-Agent Blackboard System for Information Discovery in Data Science","2025","arXiv preprint (no venue stated in the arXiv record)","C1-architectures","should","2026-09-03T19:57:24Z","arXiv API id_list=2510.01285, v2 updated 2026-01-31, published 2025-09-30; title and authors match","https://arxiv.org/abs/2510.01285"
"xu2025boad","arxiv","2512.23631","BOAD: Discovering Hierarchical Software Engineering Agents via Bandit Optimization","2025","arXiv preprint","C1-architectures","should","2026-09-03T06:55:50Z","https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2512.23631&metadataPrefix=arXiv","https://arxiv.org/abs/2512.23631"
"chen2024agentverse","arxiv","2308.10848","AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors","2024","ICLR 2024","C1-architectures","should","2026-09-03T06:55:37Z","https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2308.10848&metadataPrefix=arXiv","https://arxiv.org/abs/2308.10848"
"hong2024metagpt","arxiv","2308.00352","MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework","2024","ICLR 2024","C1-architectures","must","2026-09-03T06:42:12Z","https://export.arxiv.org/api/query?id_list=2308.00352","https://arxiv.org/abs/2308.00352"
"qian2024chatdev","arxiv","2307.07924","ChatDev: Communicative Agents for Software Development","2024","ACL 2024","C1-architectures","must","2026-09-03T06:42:12Z","https://export.arxiv.org/api/query?id_list=2307.07924","https://arxiv.org/abs/2307.07924"
"li2023camel","arxiv","2303.17760","CAMEL: Communicative Agents for ""Mind"" Exploration of Large Language Model Society","2023","NeurIPS 2023","C1-architectures","should","2026-09-03T06:42:12Z","https://export.arxiv.org/api/query?id_list=2303.17760","https://arxiv.org/abs/2303.17760"
"fourney2024magentic","arxiv","2411.04468","Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks","2024","arXiv preprint","C1-architectures,C11-labs-us","must","2026-09-03T06:57:02Z","https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2411.04468&metadataPrefix=arXiv","https://arxiv.org/abs/2411.04468"
"aksu2026measuringobedience","arxiv","2608.16177","Measuring Obedience to Authority Across Large Language Models with the Milgram Paradigm","2026","arXiv preprint (cs.CR, cs.AI); comment: 11 pages, 7 figures","C10-benchmarks-methods","should","2026-09-03T22:41:11Z","arXiv abs page https://arxiv.org/abs/2608.16177 (v2 2026-08-18); API returned empty after retries","https://arxiv.org/abs/2608.16177"
"an2026aciarenaunified","arxiv","2604.07775","ACIArena: Toward Unified Evaluation for Agent Cascading Injection","2026","arXiv preprint; comment: ACL 2026","C10-benchmarks-methods","must","2026-09-03T22:41:11Z","arXiv abs page (v1, 9 Apr 2026), comments field","https://arxiv.org/abs/2604.07775"
"anand2026instructionstacking","arxiv","2608.02639","Instruction Stacking Collapse: A Benchmark and the Capability-Dependent Value of Prompt Compilation","2026","arXiv preprint (cs.SE, cs.AI); comment: 13 pages, 11 figures; benchmark, deterministic verifiers and cached model responses released","C10-benchmarks-methods","optional","2026-09-03T20:21:58Z","arXiv abstract page https://arxiv.org/abs/2608.02639 (v1 31 Jul 2026)","https://arxiv.org/abs/2608.02639"
"anthropic2026effort","url","https://platform.claude.com/docs/en/build-with-claude/effort","Effort","2026","Claude Developer Platform documentation","C10-benchmarks-methods","should","2026-09-03T20:21:58Z","Fetched 2026-09-03; page is undated but references the 2026-07-01 per-message effort beta header and 2026 models (Claude Fable 5.1, Opus 5, Sonnet 5)","https://platform.claude.com/docs/en/build-with-claude/effort"
"chen2026thinkdeep","arxiv","2602.13517","Think Deep, Not Just Long: Measuring LLM Reasoning Effort via Deep-Thinking Tokens","2026","ICML 2026 (arXiv comment: ""Accepted to ICML 2026""; v1 13 Feb 2026, v2 6 Jul 2026)","C10-benchmarks-methods","should","2026-09-03T20:21:58Z","arXiv abs page https://arxiv.org/abs/2602.13517; export API returned HTTP 429","https://arxiv.org/abs/2602.13517"
"deepseek2026thinkingmode","url","https://api-docs.deepseek.com/guides/thinking_mode","Thinking Mode | DeepSeek API Docs","2026","api-docs.deepseek.com","C10-benchmarks-methods","must","2026-09-03T22:41:11Z","curl https://api-docs.deepseek.com/guides/thinking_mode (HTTP 200, redirected to trailing slash; page heading matches; effort mapping table read 2026-09-03)","https://api-docs.deepseek.com/guides/thinking_mode"
"eisenstein2026pingevalevaluating","arxiv","2602.24188","MT-PingEval: Evaluating Multi-Turn Collaboration with Private Information Games","2026","arXiv preprint; comment: CoLM camera-ready version (COLM 2026)","C10-benchmarks-methods","optional","2026-09-03T22:41:11Z","arXiv abs page https://arxiv.org/abs/2602.24188 (v2, 10 Aug 2026; comment: CoLM camera-ready version)","https://arxiv.org/abs/2602.24188"
"farajidizaji2026taskcompetence","arxiv","2607.19608","Task Competence Is Not Instruction Following: Evaluating Instruction-Conflicting Behavior in Small Language Models","2026","arXiv preprint (cs.CL); comment: 12 pages, 4 figures, 8 tables","C10-benchmarks-methods","should","2026-09-03T20:21:58Z","arXiv abstract page https://arxiv.org/abs/2607.19608 fetched 2026-09-03 (v1 21 Jul 2026); arXiv API returned HTTP 429 during this session","https://arxiv.org/abs/2607.19608"
"fu2026domoreagents","arxiv","2606.05670","Do More Agents Help? Controlled and Protocol-Aligned Evaluation of LLM Agent Workflows","2026","arXiv preprint arXiv:2606.05670","C10-benchmarks-methods","should","2026-09-03T07:17:18Z","https://export.arxiv.org/api/query?id_list=2606.05670","https://arxiv.org/abs/2606.05670"
"fu2026scalingreasoning","arxiv","2505.14810","Scaling Reasoning, Losing Control: Evaluating Instruction Following in Large Reasoning Models","2026","Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), ACL 2026; arXiv 2505.14810 (v2, 25 May 2025)","C10-benchmarks-methods","must","2026-09-03T20:21:58Z","arXiv abs page https://arxiv.org/abs/2505.14810 (WebFetch) plus Crossref record for DOI 10.18653/v1/2026.acl-long.1878 (title and author set match; ACL record author order Fu, Li, Gu, Qu, Cheng differs from arXiv order Fu, Gu, Li, Qu, Cheng; ACL order used)","https://arxiv.org/abs/2505.14810"
"gao2026decisionbench","arxiv","2605.19099","DecisionBench: A Benchmark for Emergent Delegation in Long-Horizon Agentic Workflows","2026","arXiv preprint","C10-benchmarks-methods","should","2026-09-03T06:59:10Z","https://export.arxiv.org/api/query?id_list=2512.06710,2503.01935,2506.07982,2510.25726,2601.11868,2312.03664,2310.11667,2606.31174,2605.19099,2510.11977,2407.01502&max_results=20","https://arxiv.org/abs/2605.19099"
"hgele2026hotmess","arxiv","2601.23045","The Hot Mess of AI: How Does Misalignment Scale With Model Intelligence and Task Complexity?","2026","ICLR 2026 (arXiv comment: ""ICLR 2026. 10 pages main text, 40 total, 27 figures. v2: typos, improved writing, references"")","C10-benchmarks-methods","should","2026-09-03T20:21:58Z","arxiv.org/abs/2601.23045 (v1 30 Jan 2026, v2 10 Apr 2026); export.arxiv.org API returned HTTP 429 during this session so the abs page was used","https://arxiv.org/abs/2601.23045"
"huang2026harnessevaluating","arxiv","2608.11727","Harness-IF: Evaluating Instruction Following Across Instruction Surfaces in Coding Agents","2026","arXiv preprint (arXiv comment: 26 pages, 7 figures, 8 tables; no venue stated)","C10-benchmarks-methods","should","2026-09-03T20:21:58Z","arXiv abstract page https://arxiv.org/abs/2608.11727 (citation_* meta tags, dateline Submitted on 12 Aug 2026)","https://arxiv.org/abs/2608.11727"
"huang2026rainmerging","arxiv","2602.22538","RAIN-Merging: A Gradient-Free Method to Enhance Instruction Following in Large Reasoning Models with Preserved Thinking Format","2026","ICLR 2026 Oral (per arXiv comment: 41 pages, ICLR 2026 Oral); arXiv","C10-benchmarks-methods","optional","2026-09-03T20:21:58Z","arxiv.org/abs/2602.22538 (citation_* meta tags and comments field; submitted 26 Feb 2026)","https://arxiv.org/abs/2602.22538"
"kaliyev2026muchcoordination","arxiv","2606.20695","How Much Coordination Gain Is Real? A Paired Noise-Floor Protocol for Multi-Agent LLM Benchmarks","2026","arXiv preprint (comment: 11 pages, 4 figures)","C10-benchmarks-methods","must","2026-09-03T19:57:24Z","arXiv API export.arxiv.org/api/query?id_list=2606.20695 (v1, published 2026-06-15)","https://arxiv.org/abs/2606.20695"
"khatua2026cooperbenchcoding","arxiv","2601.13295","CooperBench: Why Coding Agents Cannot be Your Teammates Yet","2026","arXiv preprint","C10-benchmarks-methods","must","2026-09-03T22:41:11Z","arXiv abs page https://arxiv.org/abs/2601.13295 (v2, 26 Jan 2026)","https://arxiv.org/abs/2601.13295"
"kumar2026builtthinking","arxiv","2606.09662","When Built-in Thinking Helps and Hurts: Constraint-Level Error Shifts in Instruction Following","2026","arXiv preprint (submitted 8 Jun 2026, v1; comment: 16 pages, 7 figures, 15 tables)","C10-benchmarks-methods","optional","2026-09-03T20:21:58Z","arXiv abs page https://arxiv.org/abs/2606.09662 (WebFetch); title, author, date, comment and abstract match","https://arxiv.org/abs/2606.09662"
"lee2026lostnoise","arxiv","2601.07226","Lost in the Noise: How Reasoning Models Fail with Contextual Distractors","2026","arXiv preprint (comment: Preprint; submitted 12 Jan 2026)","C10-benchmarks-methods","should","2026-09-03T20:21:58Z","arXiv abs page https://arxiv.org/abs/2601.07226; export API returned HTTP 429","https://arxiv.org/abs/2601.07226"
"li2026otoraunified","arxiv","2605.08876","OTora: A Unified Red Teaming Framework for Reasoning-Level Denial-of-Service in LLM Agents","2026","ICML 2026 (arXiv comment: ""Accepted to ICML 2026"")","C10-benchmarks-methods","should","2026-09-03T20:21:58Z","arxiv.org/abs/2605.08876 (v1 9 May 2026, v3 2 Aug 2026)","https://arxiv.org/abs/2605.08876"
"liu2026agentabstainknow","arxiv","2607.10059","AgentAbstain: Do LLM Agents Know When Not to Act?","2026","arXiv preprint (arXiv comment: 56 pages, 13 figures; no venue stated); candidate's LLA 2026 poster claim is not in the arXiv record","C10-benchmarks-methods","should","2026-09-03T20:21:58Z","arXiv abstract page https://arxiv.org/abs/2607.10059 (citation_* meta tags, dateline Submitted on 11 Jul 2026)","https://arxiv.org/abs/2607.10059"
"liu2026auditingharness","arxiv","2605.14271","Auditing Agent Harness Safety","2026","arXiv preprint (v1 14 May 2026; v2 16 May 2026); comment: 11 Pages, 8 Figures","C10-benchmarks-methods","should","2026-09-03T20:21:58Z","arXiv abstract page https://arxiv.org/abs/2605.14271 (export API returned HTTP 429); title, authors, version dates, comment, subjects and verbatim abstract read from the page","https://arxiv.org/abs/2605.14271"
"liu2026planaction","arxiv","2604.12147","From Plan to Action: How Well Do Agents Follow the Plan?","2026","arXiv preprint (cs.SE, cs.AI, cs.CL); no Comments field","C10-benchmarks-methods","should","2026-09-03T20:21:58Z","arXiv abstract page https://arxiv.org/abs/2604.12147 (v1 13 Apr 2026, v3 7 Aug 2026)","https://arxiv.org/abs/2604.12147"
"liu2026proreally","arxiv","2607.09996","Who&When Pro: Can LLMs Really Attribute Failures in AI Agents?","2026","arXiv preprint (no venue in record)","C10-benchmarks-methods","should","2026-09-03T19:57:24Z","arXiv API record 2607.09996v1, published 2026-07-10, no comment or journal_ref","https://arxiv.org/abs/2607.09996"
"mcfadyen2026inferencecompute","arxiv","2606.17930","How Inference Compute Shapes Frontier LLM Evaluation","2026","arXiv preprint (comment: 34 pages, 4 figures; no venue stated)","C10-benchmarks-methods","should","2026-09-03T20:21:58Z","arxiv.org/abs/2606.17930 (citation_* meta tags; submitted 16 Jun 2026, v3 16 Jul 2026)","https://arxiv.org/abs/2606.17930"
