key,type,status,registry,http,id,bib_title,reg_title,bib_year,reg_year,reg_first,title_match,year_match,author_match
ganz2026handofftax,misc,CHECK,datacite,200,2608.24358,{The Handoff Tax: Continuing Non-Native Trajectories in LLM Agents},The Handoff Tax: Continuing Non-Native Trajectories in LLM Agents,2026,2026,Ganz,True,True,False
gema2025inversescaling,misc,OK,datacite,200,2507.14417,{Inverse Scaling in Test-Time Compute},Inverse Scaling in Test-Time Compute,2025,2025,Gema,True,True,True
geng2026illusion,article,OK,crossref,200,10.1609/aaai.v40i36.40339,{Control Illusion: The Failure of Instruction Hierarchies in Large Language Models},Control Illusion: The Failure of Instruction Hierarchies in Large Language Models,2026,2026,Geng,True,True,True
gloaguen2026codingknow,misc,CHECK,datacite,200,2605.07769,{Coding Agents Don't Know When to Act},Coding Agents Don't Know When to Act,2026,2026,Gloaguen,True,True,False
gomez2025surveillancesignalling,misc,OK,datacite,200,2510.05192,{From surveillance to signalling: escalation channels as environmental controls for agentic AI},From surveillance to signalling: escalation channels as environmental controls for agentic AI,2025,2025,Gomez,True,True,True
gomez2026escalationchannels,misc,OK,datacite,200,2608.29460,{Can escalation channels redirect reward hacking toward defect disclosure?},Can escalation channels redirect reward hacking toward defect disclosure?,2026,2026,Gomez,True,True,True
guo2025upwarddeceivers,misc,CHECK,datacite,200,2512.04864,{Are Your Agents Upward Deceivers?},Are Your Agents Upward Deceivers?,2025,2025,Guo,True,True,False
hadfield2025how,misc,OK,url,200,https://www.anthropic.com/engineering/multi-agent-research-system,{How we built our multi-agent research system},,2025,,,True,True,True
hagag2026architecturematters,misc,OK,datacite,200,2604.23459,{Architecture Matters for Multi-Agent Security},Architecture Matters for Multi-Agent Security,2026,2026,Hagag,True,True,True
holm1979simple,misc,OK,url,200,https://www.jstor.org/stable/4615733,{A Simple Sequentially Rejective Multiple Test Procedure},,1979,,,True,True,True
jensen1976theory,article,OK,crossref,200,10.1016/0304-405X(76)90026-X,"{Theory of the firm: Managerial behavior, agency costs and ownership structure}","Theory of the firm: Managerial behavior, agency costs and ownership structure",1976,1976,Jensen,True,True,True
ji2026codingguessing,misc,OK,datacite,200,2607.02294,{Coding Agents Are Guessing: Measuring Action-Boundary Violations in Underspecified DevOps Instructions},Coding Agents Are Guessing: Measuring Action-Boundary Violations in Underspecified DevOps Instructions,2026,2026,Ji,True,True,True
kaliyev2026muchcoordination,misc,CHECK,datacite,200,2606.20695,{How Much Coordination Gain Is Real? A Paired Noise-Floor Protocol for Multi-Agent LLM Benchmarks},How Much Coordination Gain Is Real? A Paired Noise-Floor Protocol for Multi-Agent LLM Benchmarks,2026,2026,Kaliyev,True,True,False
kbis2025delegationartificial,article,OK,crossref,200,10.1038/s41586-025-09505-x,{Delegation to artificial intelligence can increase dishonest behaviour},Delegation to artificial intelligence can increase dishonest behaviour,2025,2025,Köbis,True,True,True
kc2026handoffdebt,misc,CHECK,datacite,200,2606.02875,{Handoff Debt: The Rediscovery Cost When Coding Agents Take Over Interrupted Tasks},Handoff Debt: The Rediscovery Cost When Coding Agents Take Over Interrupted Tasks,2026,2026,KC,True,True,False
koo2026knowbut,article,CHECK,crossref,200,10.18653/v1/2026.findings-eacl.24,"{I Know, but I Don't Know! How Persona Conflict Undermines Instruction Adherence in Large Language Models}","I Know, but I Don’t Know! How Persona Conflict Undermines Instruction Adherence in Large Language Models",2026,2026,Koo,False,True,True
li2025thinkingfails,misc,OK,datacite,200,2505.11423,{When Thinking Fails: The Pitfalls of Reasoning for Instruction-Following in LLMs},When Thinking Fails: The Pitfalls of Reasoning for Instruction-Following in LLMs,2025,2025,Li,True,True,True
li2026contextcontext,misc,CHECK,datacite,200,2609.01222,{What's in Your Agent's Context? Context Privilege Escalation Attacks against AI Agent Harness},What's in Your Agent's Context? Context Privilege Escalation Attacks against AI Agent Harness,2026,2026,Li,True,True,False
li2026governanceboundary,misc,OK,datacite,200,2608.16055,{Governance at the Boundary: How Agent Decomposition Degrades Policy Compliance},Governance at the Boundary: How Agent Decomposition Degrades Policy Compliance,2026,2026,Li,True,True,True
liu2026operationalreframing,misc,OK,datacite,200,2607.07097,{Operational Reframing and Approval-Framed Delegation in Multi-Agent LLM Safety},Operational Reframing and Approval-Framed Delegation in Multi-Agent LLM Safety,2026,2026,Liu,True,True,True
lynch2026agenticmisalignment,misc,OK,url,200,https://alignment.anthropic.com/2026/agentic-misalignment-summer-2026/,{Agentic Misalignment in Summer 2026},,2026,,,True,True,True
march1958organizations,misc,OK,url,200,https://openlibrary.org/books/OL6251427M,{Organizations},,1958,,,True,True,True
mcnemar1947note,article,OK,crossref,200,10.1007/bf02295996,{Note on the Sampling Error of the Difference Between Correlated Proportions or Percentages},Note on the Sampling Error of the Difference Between Correlated Proportions or Percentages,1947,1947,McNemar,True,True,True
moon2026pricethinking,misc,OK,datacite,200,2608.16956,{The Price of Thinking: Reasoning Effort as a Model-Specific API Contract},The Price of Thinking: Reasoning Effort as a Model-Specific API Contract,2026,2026,Moon,True,True,True
openai2026gptcard2,misc,OK,url,200,https://deploymentsafety.openai.com/gpt-5-6/gpt-5-6.pdf,{GPT-5.6 System Card},,2026,,,True,True,True
openai2026openaiapi,misc,OK,url,200,https://developers.openai.com/api/docs/guides/responses-multi-agent,{Multi-agent | OpenAI API},,2026,,,True,True,True
ordez2026catchingshortcut,misc,OK,datacite,200,2608.03744,{Agents Catching Agents: Shortcut Cascades and Benchmark Gaming in Clinical Multi-Agent Systems},Agents Catching Agents: Shortcut Cascades and Benchmark Gaming in Clinical Multi-Agent Systems,2026,2026,Ordóñez,True,True,True
panavas2026handbookbenchmark,misc,CHECK,datacite,200,2607.25398,{HANDBOOK.md: A Benchmark for Long-Context Agentic Instruction Following},HANDBOOK.md: A Benchmark for Long-Context Agentic Instruction Following,2026,2026,Panavas,True,True,False
printed2026patternsproblems,misc,OK,url,200,https://www.anthropic.com/research/multiagent-systems,{Patterns and problems in emerging multiagent systems},,2026,,,True,True,True
qu2026overeagercoding,misc,CHECK,datacite,200,2605.18583,{Overeager Coding Agents: Measuring Out-of-Scope Actions on Benign Tasks},Overeager Coding Agents: Measuring Out-of-Scope Actions on Benign Tasks,2026,2026,Qu,True,True,False
rodionov2026reasoningshift,misc,OK,datacite,200,2604.01161,{Reasoning Shift: How Context Silently Shortens LLM Reasoning},Reasoning Shift: How Context Silently Shortens LLM Reasoning,2026,2026,Rodionov,True,True,True
sartori2026specificationgap,misc,OK,datacite,200,2603.24284,{The Specification Gap: Coordination Failure Under Partial Knowledge in Code Agents},The Specification Gap: Coordination Failure Under Partial Knowledge in Code Agents,2026,2026,Sartori,True,True,True
sharma2026statecompression,misc,CHECK,datacite,200,2607.18265,{State Compression in Two-Agent LLM Relays: A Closed-World Study of Constraint Preservation},State Compression in Two-Agent LLM Relays: A Closed-World Study of Constraint Preservation,2026,2026,Sharma,True,True,False
shayegani2025justcomputer,misc,OK,datacite,200,2510.01670,{Just Do It!? Computer-Use Agents Exhibit Blind Goal-Directedness},Just Do It!? Computer-Use Agents Exhibit Blind Goal-Directedness,2025,2025,Shayegani,True,True,True
shen2026organizationsmore,misc,CHECK,datacite,200,2604.10290,{AI Organizations are More Effective but Less Aligned than Individual Agents},AI Organizations are More Effective but Less Aligned than Individual Agents,2026,2026,Shen,True,True,False
shin2026compliancegap,misc,OK,datacite,200,2605.01771,{The Compliance Gap: Why AI Systems Promise to Follow Process Instructions but Don't},The Compliance Gap: Why AI Systems Promise to Follow Process Instructions but Don't,2026,2026,Shin,True,True,True
sun2026mustbecomes,misc,CHECK,datacite,200,2608.24569,"{When ""Must"" Becomes ""Maybe"": Constraint Weakening in LLM Agent Workflows}","When ""Must"" Becomes ""Maybe"": Constraint Weakening in LLM Agent Workflows",2026,2026,Sun,True,True,False
thompson1967organizations,misc,OK,url,200,https://openlibrary.org/books/OL21637823M,{Organizations in Action: Social Science Bases of Administrative Theory},,1967,,,True,True,True
wallace2024hierarchy,misc,OK,datacite,200,2404.13208,{The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions},The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions,2024,2024,Wallace,True,True,True
wang2026factswithout,misc,OK,datacite,200,2608.29028,{Facts Without Rules: Boundary Metadata Collapse in Multi-Agent LLM Handoffs},Facts Without Rules: Boundary Metadata Collapse in Multi-Agent LLM Handoffs,2026,2026,Wang,True,True,True
wang2026helpfulnesstoxic,misc,CHECK,datacite,200,2602.04197,{From Helpfulness to Toxic Proactivity: Diagnosing Behavioral Misalignment in LLM Agents},From Helpfulness to Toxic Proactivity: Diagnosing Behavioral Misalignment in LLM Agents,2026,2026,Wang,True,True,False
williamson1975markets,misc,OK,url,200,https://openlibrary.org/books/OL5062431M,{Markets and Hierarchies: Analysis and Antitrust Implications},,1975,,,True,True,True
wilson1927probable,article,OK,crossref,200,10.1080/01621459.1927.10502953,"{Probable Inference, the Law of Succession, and Statistical Inference}","Probable Inference, the Law of Succession, and Statistical Inference",1927,1927,Wilson,True,True,True
xu2026masdriftbenchmarking,misc,OK,datacite,200,2608.07556,{MasDrift: Benchmarking Authorization Preservation Across Multi-Agent Architectures},MasDrift: Benchmarking Authorization Preservation Across Multi-Agent Architectures,2026,2026,Xu,True,True,True
yan2025dontbuild,misc,OK,url,200,https://cognition.com/blog/dont-build-multi-agents,{Don't Build Multi-Agents},,2025,,,True,True,True
yan2026actuallyworking,misc,OK,url,200,https://cognition.com/blog/multi-agents-working,{Multi-Agents: What's Actually Working},,2026,,,True,True,True
yang2026hierarchicalalignment,misc,OK,datacite,200,2604.09075,{Hierarchical Alignment: Enforcing Hierarchical Instruction-Following in LLMs through Logical Consistency},Hierarchical Alignment: Enforcing Hierarchical Instruction-Following in LLMs through Logical Consistency,2026,2026,Yang,True,True,True
yu2026when,misc,OK,datacite,200,2607.16133,{When Do Multi-Agent Systems Help? An Information Bottleneck Perspective},When Do Multi-Agent Systems Help? An Information Bottleneck Perspective,2026,2026,Yu,True,True,True
zhang2025iheval,article,OK,crossref,200,10.18653/v1/2025.naacl-long.425,{IHEval: Evaluating Language Models on Following the Instruction Hierarchy},IHEval: Evaluating Language Models on Following the Instruction Hierarchy,2025,2025,Zhang,True,True,True
zhang2025whichcauses,misc,OK,datacite,200,2505.00212,{Which Agent Causes Task Failures and When? On Automated Failure Attribution of LLM Multi-Agent Systems},Which Agent Causes Task Failures and When? On Automated Failure Attribution of LLM Multi-Agent Systems,2025,2025,Zhang,True,True,True
zhang2026manyih,misc,OK,datacite,200,2604.09443,{Many-Tier Instruction Hierarchy in LLM Agents},Many-Tier Instruction Hierarchy in LLM Agents,2026,2026,Zhang,True,True,True
