run=suite-a models=deepseek,muse conds=V0,V1,V2,V3,V4,LM2,LM4,HM2,HM4,V2N,V2P,V4L,LML draws=3 items=200 pending=15600 done=0 cap=$45
  20/15600 done, $0.0289 spent, 21s
  5940/15600 done, $11.5394 spent, 6391s
  5960/15600 done, $11.5503 spent, 6407s
  5980/15600 done, $11.5791 spent, 6415s
  6000/15600 done, $11.6002 spent, 6423s
  6020/15600 done, $11.6076 spent, 6430s
  6040/15600 done, $11.6143 spent, 6436s
  6060/15600 done, $11.6220 spent, 6445s
  6080/15600 done, $11.6293 spent, 6454s
  6100/15600 done, $11.6514 spent, 6459s
  6120/15600 done, $11.6575 spent, 6465s
  6140/15600 done, $11.6624 spent, 6474s
  6160/15600 done, $11.6701 spent, 6482s
  6180/15600 done, $11.6987 spent, 6490s
  6200/15600 done, $11.7067 spent, 6496s
  6220/15600 done, $11.7557 spent, 6504s
  6240/15600 done, $11.7610 spent, 6510s
  6260/15600 done, $11.7689 spent, 6514s
  6280/15600 done, $11.7731 spent, 6518s
  6300/15600 done, $11.7781 spent, 6524s
  6320/15600 done, $11.8053 spent, 6528s
  6340/15600 done, $11.8104 spent, 6532s
  6360/15600 done, $11.8163 spent, 6537s
  6380/15600 done, $11.8202 spent, 6541s
  6400/15600 done, $11.8319 spent, 6546s
  6420/15600 done, $11.8371 spent, 6550s
  6440/15600 done, $11.8465 spent, 6557s
  6460/15600 done, $11.8567 spent, 6564s
  6480/15600 done, $11.8873 spent, 6571s
  6500/15600 done, $11.8929 spent, 6576s
  6520/15600 done, $11.9003 spent, 6581s
  6540/15600 done, $11.9069 spent, 6585s
  6560/15600 done, $11.9294 spent, 6616s
  6580/15600 done, $11.9677 spent, 6639s
  6600/15600 done, $11.9993 spent, 6660s
  6620/15600 done, $12.0326 spent, 6676s
  6640/15600 done, $12.0525 spent, 6694s
  6660/15600 done, $12.0844 spent, 6713s
  6680/15600 done, $12.1098 spent, 6741s
  6700/15600 done, $12.1516 spent, 6765s
  6720/15600 done, $12.1745 spent, 6789s
  6740/15600 done, $12.2201 spent, 6821s
  6760/15600 done, $12.2810 spent, 6862s
  6780/15600 done, $12.3208 spent, 6896s
  6800/15600 done, $12.3588 spent, 6918s
  6820/15600 done, $12.3859 spent, 6932s
  6840/15600 done, $12.4117 spent, 6952s
  6860/15600 done, $12.4392 spent, 6972s
  6880/15600 done, $12.4663 spent, 6993s
  6900/15600 done, $12.5059 spent, 7014s
  6920/15600 done, $12.5421 spent, 7046s
  6940/15600 done, $12.5764 spent, 7082s
  6960/15600 done, $12.6130 spent, 7101s
  6980/15600 done, $12.6452 spent, 7118s
  7000/15600 done, $12.6825 spent, 7144s
  7020/15600 done, $12.7143 spent, 7171s
  7040/15600 done, $12.7503 spent, 7194s
  7060/15600 done, $12.7771 spent, 7216s
  7080/15600 done, $12.8091 spent, 7240s
  7100/15600 done, $12.8324 spent, 7256s
  7120/15600 done, $12.8509 spent, 7268s
  7140/15600 done, $12.8889 spent, 7286s
  7160/15600 done, $12.9046 spent, 7302s
  7180/15600 done, $12.9392 spent, 7320s
  7200/15600 done, $12.9571 spent, 7337s
  7220/15600 done, $12.9904 spent, 7352s
  7240/15600 done, $13.0071 spent, 7370s
  7260/15600 done, $13.0352 spent, 7386s
  7280/15600 done, $13.0486 spent, 7401s
  7300/15600 done, $13.0713 spent, 7424s
  7320/15600 done, $13.1053 spent, 7439s
  7340/15600 done, $13.1335 spent, 7452s
  7360/15600 done, $13.1641 spent, 7468s
  7380/15600 done, $13.1835 spent, 7489s
  7400/15600 done, $13.2206 spent, 7504s
  7420/15600 done, $13.2422 spent, 7520s
  7440/15600 done, $13.2736 spent, 7536s
  7460/15600 done, $13.2966 spent, 7552s
  7480/15600 done, $13.3309 spent, 7574s
  7500/15600 done, $13.3568 spent, 7590s
  7520/15600 done, $13.3780 spent, 7606s
  7540/15600 done, $13.3994 spent, 7619s
  7560/15600 done, $13.4090 spent, 7633s
  7580/15600 done, $13.4399 spent, 7648s
  7600/15600 done, $13.4534 spent, 7657s
  7620/15600 done, $13.4813 spent, 7669s
  7640/15600 done, $13.5009 spent, 7677s
  7660/15600 done, $13.5088 spent, 7685s
  7680/15600 done, $13.5205 spent, 7693s
  7700/15600 done, $13.5305 spent, 7701s
  7720/15600 done, $13.5395 spent, 7710s
  7740/15600 done, $13.5502 spent, 7715s
  7760/15600 done, $13.5598 spent, 7723s
  7780/15600 done, $13.5717 spent, 7727s
  7800/15600 done, $13.5803 spent, 7732s
  7820/15600 done, $13.5865 spent, 7737s
  7840/15600 done, $13.5973 spent, 7744s
  7860/15600 done, $13.6102 spent, 7750s
  7880/15600 done, $13.6185 spent, 7757s
  7900/15600 done, $13.6266 spent, 7762s
  7920/15600 done, $13.6365 spent, 7769s
  7940/15600 done, $13.6423 spent, 7775s
  7960/15600 done, $13.6523 spent, 7781s
  7980/15600 done, $13.6599 spent, 7787s
  8000/15600 done, $13.6717 spent, 7792s
  8020/15600 done, $13.6794 spent, 7797s
  8040/15600 done, $13.6865 spent, 7802s
  8060/15600 done, $13.6933 spent, 7808s
  8080/15600 done, $13.7027 spent, 7814s
  8100/15600 done, $13.7104 spent, 7820s
  8120/15600 done, $13.7197 spent, 7826s
  8140/15600 done, $13.7267 spent, 7833s
  8160/15600 done, $13.7376 spent, 7841s
  8180/15600 done, $13.7514 spent, 7846s
  8200/15600 done, $13.7604 spent, 7852s
  8220/15600 done, $13.7698 spent, 7860s
  8240/15600 done, $13.7800 spent, 7864s
  8260/15600 done, $13.7907 spent, 7869s
  8280/15600 done, $13.7987 spent, 7874s
  8300/15600 done, $13.8075 spent, 7881s
  8320/15600 done, $13.8174 spent, 7886s
  8340/15600 done, $13.8321 spent, 7900s
  8360/15600 done, $13.8513 spent, 7919s
  8380/15600 done, $13.8646 spent, 7928s
  8400/15600 done, $13.8783 spent, 7932s
  8420/15600 done, $13.8883 spent, 7938s
  8440/15600 done, $13.8941 spent, 7946s
  8460/15600 done, $13.9099 spent, 7955s
  8480/15600 done, $13.9260 spent, 7964s
  8500/15600 done, $13.9476 spent, 7981s
  8520/15600 done, $13.9617 spent, 7995s
  8540/15600 done, $13.9663 spent, 8006s
  8560/15600 done, $13.9784 spent, 8014s
  8580/15600 done, $13.9978 spent, 8025s
  8600/15600 done, $14.0213 spent, 8058s
  8620/15600 done, $14.0362 spent, 8078s
  8640/15600 done, $14.0795 spent, 8096s
  8660/15600 done, $14.1213 spent, 8122s
  8680/15600 done, $14.1372 spent, 8138s
  8700/15600 done, $14.1553 spent, 8145s
  8720/15600 done, $14.1616 spent, 8151s
  8740/15600 done, $14.1779 spent, 8167s
  8760/15600 done, $14.1944 spent, 8184s
  8780/15600 done, $14.2144 spent, 8198s
  8800/15600 done, $14.2409 spent, 8219s
  8820/15600 done, $14.2553 spent, 8232s
  8840/15600 done, $14.2634 spent, 8242s
  8860/15600 done, $14.2730 spent, 8250s
  8880/15600 done, $14.2994 spent, 8261s
  8900/15600 done, $14.3190 spent, 8280s
  8920/15600 done, $14.3369 spent, 8301s
  8940/15600 done, $14.3727 spent, 8326s
  8960/15600 done, $14.4043 spent, 8350s
  8980/15600 done, $14.4265 spent, 8365s
  9000/15600 done, $14.4594 spent, 8386s
  9020/15600 done, $14.4932 spent, 8418s
  9040/15600 done, $14.5486 spent, 8445s
  9060/15600 done, $14.5929 spent, 8473s
  9080/15600 done, $14.6338 spent, 8513s
  9100/15600 done, $14.6625 spent, 8564s
  9120/15600 done, $14.7422 spent, 8596s
  9140/15600 done, $14.8080 spent, 8638s
  9160/15600 done, $14.8507 spent, 8674s
  9180/15600 done, $14.9309 spent, 8712s
  9200/15600 done, $14.9711 spent, 8756s
  9220/15600 done, $15.0387 spent, 8793s
  9240/15600 done, $15.1102 spent, 8838s
  9260/15600 done, $15.1896 spent, 8879s
  9280/15600 done, $15.2151 spent, 8910s
  9300/15600 done, $15.2475 spent, 8940s
  9320/15600 done, $15.3449 spent, 8958s
  9340/15600 done, $15.3781 spent, 8982s
  9360/15600 done, $15.4466 spent, 9002s
  9380/15600 done, $15.4820 spent, 9027s
  9400/15600 done, $15.5167 spent, 9066s
  9420/15600 done, $15.5568 spent, 9101s
  9440/15600 done, $15.6306 spent, 9137s
  9460/15600 done, $15.6579 spent, 9179s
  9480/15600 done, $15.7292 spent, 9211s
  9500/15600 done, $15.7966 spent, 9242s
  9520/15600 done, $15.8570 spent, 9304s
  9540/15600 done, $15.9390 spent, 9361s
  9560/15600 done, $16.0231 spent, 9394s
  9580/15600 done, $16.0692 spent, 9427s
  9600/15600 done, $16.0977 spent, 9471s
  9620/15600 done, $16.1443 spent, 9504s
  9640/15600 done, $16.1795 spent, 9530s
  9660/15600 done, $16.2529 spent, 9565s
  9680/15600 done, $16.3209 spent, 9611s
  9700/15600 done, $16.3959 spent, 9653s
  9720/15600 done, $16.4338 spent, 9668s
  9740/15600 done, $16.4639 spent, 9687s
  9760/15600 done, $16.5243 spent, 9720s
  9780/15600 done, $16.5683 spent, 9767s
  9800/15600 done, $16.6073 spent, 9797s
  9820/15600 done, $16.6808 spent, 9847s
  9840/15600 done, $16.7726 spent, 9898s
  9860/15600 done, $16.8224 spent, 9926s
  9880/15600 done, $16.8811 spent, 9967s
  9900/15600 done, $16.9651 spent, 9991s
  9920/15600 done, $17.0004 spent, 10023s
  9940/15600 done, $17.0230 spent, 10051s
  9960/15600 done, $17.0793 spent, 10082s
  9980/15600 done, $17.1144 spent, 10107s
  10000/15600 done, $17.1655 spent, 10133s
  10020/15600 done, $17.2086 spent, 10155s
  10040/15600 done, $17.2777 spent, 10199s
  10060/15600 done, $17.3106 spent, 10225s
  10080/15600 done, $17.3660 spent, 10245s
  10100/15600 done, $17.4020 spent, 10271s
  10120/15600 done, $17.4451 spent, 10300s
  10140/15600 done, $17.4933 spent, 10317s
  10160/15600 done, $17.5223 spent, 10342s
  10180/15600 done, $17.5516 spent, 10372s
  10200/15600 done, $17.5860 spent, 10416s
  10220/15600 done, $17.6027 spent, 10438s
  10240/15600 done, $17.6156 spent, 10455s
  10260/15600 done, $17.6570 spent, 10468s
  10280/15600 done, $17.6644 spent, 10477s
  10300/15600 done, $17.6718 spent, 10486s
  10320/15600 done, $17.6789 spent, 10497s
  10340/15600 done, $17.6853 spent, 10509s
  10360/15600 done, $17.7270 spent, 10517s
  10380/15600 done, $17.7478 spent, 10525s
  10400/15600 done, $17.7666 spent, 10531s
  10420/15600 done, $17.7935 spent, 10535s
  10440/15600 done, $17.8431 spent, 10539s
  10460/15600 done, $17.8513 spent, 10544s
  10480/15600 done, $17.8592 spent, 10549s
  10500/15600 done, $17.8895 spent, 10555s
  10520/15600 done, $17.8984 spent, 10561s
  10540/15600 done, $17.9041 spent, 10566s
  10560/15600 done, $17.9089 spent, 10571s
  10580/15600 done, $17.9144 spent, 10575s
  10600/15600 done, $17.9194 spent, 10580s
  10620/15600 done, $17.9246 spent, 10586s
  10640/15600 done, $17.9357 spent, 10590s
  10660/15600 done, $17.9440 spent, 10594s
  10680/15600 done, $17.9487 spent, 10598s
  10700/15600 done, $17.9531 spent, 10603s
  10720/15600 done, $17.9581 spent, 10608s
  10740/15600 done, $17.9695 spent, 10616s
  10760/15600 done, $17.9870 spent, 10625s
  10780/15600 done, $17.9953 spent, 10632s
  10800/15600 done, $18.0022 spent, 10638s
  10820/15600 done, $18.0088 spent, 10643s
  10840/15600 done, $18.0160 spent, 10649s
  10860/15600 done, $18.0344 spent, 10664s
  10880/15600 done, $18.0621 spent, 10684s
  10900/15600 done, $18.0778 spent, 10699s
  10920/15600 done, $18.1094 spent, 10718s
  10940/15600 done, $18.1444 spent, 10744s
  10960/15600 done, $18.1762 spent, 10767s
  10980/15600 done, $18.2044 spent, 10783s
  11000/15600 done, $18.2283 spent, 10799s
  11020/15600 done, $18.2555 spent, 10823s
  11040/15600 done, $18.2839 spent, 10854s
  11060/15600 done, $18.3185 spent, 10869s
  11080/15600 done, $18.3486 spent, 10883s
  11100/15600 done, $18.3707 spent, 10903s
  11120/15600 done, $18.4042 spent, 10934s
  11140/15600 done, $18.4414 spent, 10961s
  11160/15600 done, $18.4733 spent, 10977s
  11180/15600 done, $18.5013 spent, 10990s
  11200/15600 done, $18.5243 spent, 11007s
  11220/15600 done, $18.5461 spent, 11023s
  11240/15600 done, $18.5682 spent, 11038s
  11260/15600 done, $18.6074 spent, 11056s
  11280/15600 done, $18.6281 spent, 11066s
  11300/15600 done, $18.6422 spent, 11079s
  11320/15600 done, $18.6681 spent, 11102s
  11340/15600 done, $18.6965 spent, 11125s
  11360/15600 done, $18.7158 spent, 11145s
  11380/15600 done, $18.7479 spent, 11163s
  11400/15600 done, $18.7718 spent, 11183s
  11420/15600 done, $18.8040 spent, 11197s
  11440/15600 done, $18.8299 spent, 11217s
  11460/15600 done, $18.8462 spent, 11231s
  11480/15600 done, $18.8854 spent, 11264s
  11500/15600 done, $18.9055 spent, 11285s
  11520/15600 done, $18.9309 spent, 11305s
  11540/15600 done, $18.9702 spent, 11334s
  11560/15600 done, $19.0097 spent, 11354s
  11580/15600 done, $19.0255 spent, 11373s
  11600/15600 done, $19.0545 spent, 11389s
  11620/15600 done, $19.0736 spent, 11407s
  11640/15600 done, $19.0986 spent, 11423s
  11660/15600 done, $19.1468 spent, 11453s
  11680/15600 done, $19.1692 spent, 11479s
  11700/15600 done, $19.2029 spent, 11499s
  11720/15600 done, $19.2279 spent, 11525s
  11740/15600 done, $19.2822 spent, 11552s
  11760/15600 done, $19.3041 spent, 11578s
  11780/15600 done, $19.3358 spent, 11597s
  11800/15600 done, $19.3709 spent, 11615s
  11820/15600 done, $19.4007 spent, 11635s
  11840/15600 done, $19.4160 spent, 11659s
  11860/15600 done, $19.4659 spent, 11688s
  11880/15600 done, $19.4872 spent, 11707s
  11900/15600 done, $19.5239 spent, 11729s
  11920/15600 done, $19.5485 spent, 11750s
  11940/15600 done, $19.5744 spent, 11769s
  11960/15600 done, $19.5983 spent, 11782s
  11980/15600 done, $19.6203 spent, 11791s
  12000/15600 done, $19.6367 spent, 11800s
  12020/15600 done, $19.6562 spent, 11807s
  12040/15600 done, $19.6637 spent, 11813s
  12060/15600 done, $19.6774 spent, 11820s
